央视频道,#genre#	
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17

咪咕直播,#genre#
CCTV1,http://bobohome.ignorelist.com:20247/migu?id=608807420.m3u8
CCTV2,http://bobohome.ignorelist.com:20247/migu?id=631780532.m3u8
CCTV3,http://bobohome.ignorelist.com:20247/migu?id=624878271.m3u8
CCTV4,http://bobohome.ignorelist.com:20247/migu?id=631780421.m3u8
CCTV4欧洲,http://bobohome.ignorelist.com:20247/migu?id=608807419.m3u8
CCTV4美洲,http://bobohome.ignorelist.com:20247/migu?id=608807416.m3u8
CCTV5,http://bobohome.ignorelist.com:20247/migu?id=641886683.m3u8
CCTV5+,http://bobohome.ignorelist.com:20247/migu?id=641886773.m3u8
CCTV6,http://bobohome.ignorelist.com:20247/migu?id=624878396.m3u8
CCTV7,http://bobohome.ignorelist.com:20247/migu?id=673168121.m3u8
CCTV8,http://bobohome.ignorelist.com:20247/migu?id=624878356.m3u8
CCTV9,http://bobohome.ignorelist.com:20247/migu?id=673168140.m3u8
CCTV10,http://bobohome.ignorelist.com:20247/migu?id=624878405.m3u8
CCTV11,http://bobohome.ignorelist.com:20247/migu?id=667987558.m3u8
CCTV12,http://bobohome.ignorelist.com:20247/migu?id=673168185.m3u8
CCTV13,http://bobohome.ignorelist.com:20247/migu?id=608807423.m3u8
CCTV14,http://bobohome.ignorelist.com:20247/migu?id=624878440.m3u8
CCTV15,http://bobohome.ignorelist.com:20247/migu?id=673168223.m3u8
CCTV17,http://bobohome.ignorelist.com:20247/migu?id=673168256.m3u8
CETV1,http://bobohome.ignorelist.com:20247/migu?id=923287154.m3u8
CETV2,http://bobohome.ignorelist.com:20247/migu?id=923287211.m3u8
CETV4,http://bobohome.ignorelist.com:20247/migu?id=923287339.m3u8
CGTN,http://bobohome.ignorelist.com:20247/migu?id=609017205.m3u8
CGTN俄语,http://bobohome.ignorelist.com:20247/migu?id=609006446.m3u8
CGTN法语,http://bobohome.ignorelist.com:20247/migu?id=609006476.m3u8
CGTN西语,http://bobohome.ignorelist.com:20247/migu?id=609006450.m3u8

央卫IPV4,#genre#	

CCTV01,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV02,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV03,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV04,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV05,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8
CCTV风云剧场,http://60.10.225.157:555/rtp/239.253.93.251:6429

央视备用,#genre#
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV1,http://198.204.228.26/live/cctv1hd.m3u8
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV2,http://69.30.245.50/live/cctv2.m3u8
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV2,http://198.204.228.26/live/cctv2hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV3,http://198.204.228.26/live/cctv3hd.m3u8
CCTV3,http://123.163.114.168:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV4,http://69.30.245.50/live/cctv4.m3u8
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV5,http://198.204.228.26/live/cctv5p.m3u8
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5,http://123.163.114.168:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8
CCTV6,http://69.30.245.50/live/cctv6.m3u8
CCTV6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV6,http://198.204.228.26/live/cctv6hd.m3u8
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
